canonical,key_without_year,designation,prefix,number,part,section,year,title,division,section_name,committee,status,product_category,scheme,amendments,superseded_by_text,sources,archive_identifier,archive_url,license_url,text_path,pdf_path,has_full_text,is_compulsory,is_current,superseded_by
IS|10026|3|1|1999|None,IS|10026|3|1,IS 10026 (Part 3 / Section 1):1999,IS,10026,3.0,1.0,1999,"IS 10026-3-1: Insulating Varnishes Containing Solvents, Part 3: Specifications for Individual Materials, Section 1: Requirements for Cold Curing Finishing Varnis",</b> Electrotechnical<br /><b>,</b> Solid Electrical Insulating Materials and Insulation Systems (ETD 2)<br /><br /><b>,ETD 2,published,,,0,</b> <br /><br /><br /><b>LEGALLY BINDING DOCUMENT</b><br /><br /><i>Step Out From the Old to the New</i>--Jawaharlal Nehru<br /><i>Invent a new India using knowledge.</i>--Satyanarayan Gangaram Pitroda,['ARCHIVE_ORG'],gov.in.is.10026.3.1.1999,https://archive.org/details/gov.in.is.10026.3.1.1999,http://creativecommons.org/publicdomain/zero/1.0/,bis_data\archive\text\gov.in.is.10026.3.1.1999.txt,,True,False,True,
IS|10026|3|2|1999|None,IS|10026|3|2,IS 10026 (Part 3 / Section 2):1999,IS,10026,3.0,2.0,1999,"IS 10026-3-2: Insulating varnishes containing solvents, Part 3: Specifications for individual materials, Section 2: Requirements for Hot Curing Varnishes",</b> Electrotechnical<br /><b>,</b> Solid Electrical Insulating Materials and Insulation Systems (ETD 2)<br /><br /><b>,ETD 2,published,,,0,</b> <br /><br /><br /><b>LEGALLY BINDING DOCUMENT</b><br /><br /><i>Step Out From the Old to the New</i>--Jawaharlal Nehru<br /><i>Invent a new India using knowledge.</i>--Satyanarayan Gangaram Pitroda,['ARCHIVE_ORG'],gov.in.is.10026.3.2.1999,https://archive.org/details/gov.in.is.10026.3.2.1999,http://creativecommons.org/publicdomain/zero/1.0/,bis_data\archive\text\gov.in.is.10026.3.2.1999.txt,,True,False,True,
IS|10026|3|3|1983|None,IS|10026|3|3,IS 10026 (Part 3 / Section 3):1983,IS,10026,3.0,3.0,1983,"IS 10026-3-3: Insulating Varnishes Containing Solvents, Part 3: Specifications for Individual Materials, Section 3: Air Drying Varnishes with Temperature Index 130",</b> Electrotechnical<br /><b>,</b> Solid Electrical Insulating Materials and Insulation Systems (ETD 2)<br /><br /><b>,ETD 2,published,,,0,</b> <br /><br /><br /><b>LEGALLY BINDING DOCUMENT</b><br /><br /><i>Step Out From the Old to the New</i>--Jawaharlal Nehru<br /><i>Invent a new India using knowledge.</i>--Satyanarayan Gangaram Pitroda,['ARCHIVE_ORG'],gov.in.is.10026.3.3.1983,https://archive.org/details/gov.in.is.10026.3.3.1983,http://creativecommons.org/publicdomain/zero/1.0/,bis_data\archive\text\gov.in.is.10026.3.3.1983.txt,,True,False,True,
IS|10026|3|4|1983|None,IS|10026|3|4,IS 10026 (Part 3 / Section 4):1983,IS,10026,3.0,4.0,1983,"IS 10026-3-4: Insulating varnishes containing solvents, Part 3: Specifications for individual materials, Section 4: Baking varnishes with temperature index 120",</b> Electrotechnical<br /><b>,</b> Solid Electrical Insulating Materials and Insulation Systems (ETD 2)<br /><br /><b>,ETD 2,published,,,0,</b> <br /><br /><br /><b>LEGALLY BINDING DOCUMENT</b><br /><br /><i>Step Out From the Old to the New</i>--Jawaharlal Nehru<br /><i>Invent a new India using knowledge.</i>--Satyanarayan Gangaram Pitroda,['ARCHIVE_ORG'],gov.in.is.10026.3.4.1983,https://archive.org/details/gov.in.is.10026.3.4.1983,http://creativecommons.org/publicdomain/zero/1.0/,bis_data\archive\text\gov.in.is.10026.3.4.1983.txt,,True,False,True,
IS|10026|3|5|1983|None,IS|10026|3|5,IS 10026 (Part 3 / Section 5):1983,IS,10026,3.0,5.0,1983,"IS 10026-3-5: Insulating varnishes containing solvents, Part 3: Specifications for individual materials, Section 5: Baking varnishes with temperature index 130",</b> Electrotechnical<br /><b>,</b> Solid Electrical Insulating Materials and Insulation Systems (ETD 2)<br /><br /><b>,ETD 2,published,,,0,</b> <br /><br /><br /><b>LEGALLY BINDING DOCUMENT</b><br /><br /><i>Step Out From the Old to the New</i>--Jawaharlal Nehru<br /><i>Invent a new India using knowledge.</i>--Satyanarayan Gangaram Pitroda,['ARCHIVE_ORG'],gov.in.is.10026.3.5.1983,https://archive.org/details/gov.in.is.10026.3.5.1983,http://creativecommons.org/publicdomain/zero/1.0/,bis_data\archive\text\gov.in.is.10026.3.5.1983.txt,,True,False,True,
IS|10026|3|6|1983|None,IS|10026|3|6,IS 10026 (Part 3 / Section 6):1983,IS,10026,3.0,6.0,1983,"IS 10026-3-6: Insulating Varnishes Containing Solvents, Part 3: Specifications for Individual Materials, Section 6: Baking Varnishes with Temperature Index 155",</b> Electrotechnical<br /><b>,</b> Solid Electrical Insulating Materials and Insulation Systems (ETD 2)<br /><br /><b>,ETD 2,published,,,0,</b> <br /><br /><br /><b>LEGALLY BINDING DOCUMENT</b><br /><br /><i>Step Out From the Old to the New</i>--Jawaharlal Nehru<br /><i>Invent a new India using knowledge.</i>--Satyanarayan Gangaram Pitroda,['ARCHIVE_ORG'],gov.in.is.10026.3.6.1983,https://archive.org/details/gov.in.is.10026.3.6.1983,http://creativecommons.org/publicdomain/zero/1.0/,bis_data\archive\text\gov.in.is.10026.3.6.1983.txt,,True,False,True,
IS|10026|3|7|1983|None,IS|10026|3|7,IS 10026 (Part 3 / Section 7):1983,IS,10026,3.0,7.0,1983,"IS 10026-3-7: Insulating varnishes containing solvents, Part 3: Specifications for individual materials, Section 7: Baking varnishes with temperature index 180",</b> Electrotechnical<br /><b>,</b> Solid Electrical Insulating Materials and Insulation Systems (ETD 2)<br /><br /><b>,ETD 2,published,,,0,</b> <br /><br /><br /><b>LEGALLY BINDING DOCUMENT</b><br /><br /><i>Step Out From the Old to the New</i>--Jawaharlal Nehru<br /><i>Invent a new India using knowledge.</i>--Satyanarayan Gangaram Pitroda,['ARCHIVE_ORG'],gov.in.is.10026.3.7.1983,https://archive.org/details/gov.in.is.10026.3.7.1983,http://creativecommons.org/publicdomain/zero/1.0/,bis_data\archive\text\gov.in.is.10026.3.7.1983.txt,,True,False,True,
IS|10026|3|8|1986|None,IS|10026|3|8,IS 10026 (Part 3 / Section 8):1986,IS,10026,3.0,8.0,1986,"IS 10026-3-8: Insulating varnishes containing solvents, Part 3: Specifications for individual materials, Section 8: Baking varnishes with temperature index 200",</b> Electrotechnical<br /><b>,</b> Solid Electrical Insulating Materials and Insulation Systems (ETD 2)<br /><br /><b>,ETD 2,published,,,0,</b> <br /><br /><br /><b>LEGALLY BINDING DOCUMENT</b><br /><br /><i>Step Out From the Old to the New</i>--Jawaharlal Nehru<br /><i>Invent a new India using knowledge.</i>--Satyanarayan Gangaram Pitroda,['ARCHIVE_ORG'],gov.in.is.10026.3.8.1986,https://archive.org/details/gov.in.is.10026.3.8.1986,http://creativecommons.org/publicdomain/zero/1.0/,bis_data\archive\text\gov.in.is.10026.3.8.1986.txt,,True,False,True,
IS|10026|3|9|1986|None,IS|10026|3|9,IS 10026 (Part 3 / Section 9):1986,IS,10026,3.0,9.0,1986,"IS 10026-3-9: Insulating varnishes containing solvents, Part 3: Specifications for individual materials, Section 9: Baking varnishes with temperature index 130 for magnetic core sheets",</b> Electrotechnical<br /><b>,</b> Solid Electrical Insulating Materials and Insulation Systems (ETD 2)<br /><br /><b>,ETD 2,published,,,0,</b> <br /><br /><br /><b>LEGALLY BINDING DOCUMENT</b><br /><br /><i>Step Out From the Old to the New</i>--Jawaharlal Nehru<br /><i>Invent a new India using knowledge.</i>--Satyanarayan Gangaram Pitroda,['ARCHIVE_ORG'],gov.in.is.10026.3.9.1986,https://archive.org/details/gov.in.is.10026.3.9.1986,http://creativecommons.org/publicdomain/zero/1.0/,bis_data\archive\text\gov.in.is.10026.3.9.1986.txt,,True,False,True,
IS|10027|None|None|2000|None,IS|10027|None|None,IS 10027:2000,IS,10027,,,2000,IS 10027: Composite Units of Air-break Switches and Rewirable Type Fuses for Voltages Not Exceeding 650 V a.c.,</b> Electrotechnical<br /><b>,</b> Low Voltage Switchgear and Controlgear (ETD 7)<br /><br /><b>,ETD 7,published,,,0,</b> <br /><br /><br /><b>LEGALLY BINDING DOCUMENT</b><br /><br /><i>Step Out From the Old to the New</i>--Jawaharlal Nehru<br /><i>Invent a new India using knowledge.</i>--Satyanarayan Gangaram Pitroda,['ARCHIVE_ORG'],gov.in.is.10027.2000,https://archive.org/details/gov.in.is.10027.2000,http://creativecommons.org/publicdomain/zero/1.0/,bis_data\archive\text\gov.in.is.10027.2000.txt,,True,False,False,IS 10027:2018
